timestamp;frequency_mean_Hz;frequency_min_Hz;frequency_max_Hz;activation_factor_signed;activation_factor_positive;activation_factor_negative;activation_factor_absolute;raw_samples;raw_coverage_percent;source_data_original;data_filled;source_timestamp
01.01.2021 11:30;49,981543;49,96;50;0,04790643;0,04790643;0;0,04790643;900;100;False;True;04.01.2021 11:30
01.01.2021 11:45;49,99826;49,964;50,027;0,00416374;0,0108655;0,00670175;0,01756725;900;100;False;True;04.01.2021 11:45
01.01.2021 12:00;49,997058;49,972;50,021;0,00727485;0,00995906;0,00268421;0,01264327;900;100;False;True;04.01.2021 12:00
01.01.2021 12:15;49,995274;49,976;50,019;0,00804094;0,00923977;0,00119883;0,0104386;900;100;False;True;04.01.2021 12:15
01.01.2021 12:30;49,99175;49,971;50,014;0,0178538;0,01812281;0,00026901;0,01839181;900;100;False;True;04.01.2021 12:30
01.01.2021 12:45;49,998553;49,971;50,033;0,0011462;0,01205263;0,01090643;0,02295906;900;100;False;True;04.01.2021 12:45
01.01.2021 13:00;49,986102;49,961;50,012;0,03578947;0,03587135;8,187e-05;0,03595322;900;100;False;True;04.01.2021 13:00
01.01.2021 13:15;50,000166;49,971;50,03;-0,00108187;0,00881871;0,00990058;0,0187193;900;100;False;True;04.01.2021 13:15
01.01.2021 13:30;49,993126;49,969;50,025;0,01709942;0,01960819;0,00250877;0,02211696;900;100;False;True;04.01.2021 13:30
01.01.2021 13:45;50,009501;49,979;50,032;-0,02077778;0,00108772;0,0218655;0,02295322;900;100;False;True;04.01.2021 13:45
01.01.2021 14:00;49,992899;49,945;50,026;0,03004678;0,03405848;0,0040117;0,03807018;900;100;False;True;04.01.2021 14:00
01.01.2021 14:15;49,992791;49,969;50,019;0,0142807;0,01576023;0,00147953;0,01723977;900;100;False;True;04.01.2021 14:15
01.01.2021 14:30;49,993388;49,965;50,023;0,0160117;0,01850292;0,00249123;0,02099415;900;100;False;True;04.01.2021 14:30
01.01.2021 14:45;49,998031;49,977;50,022;0,00199415;0,00383626;0,00184211;0,00567836;900;100;False;True;04.01.2021 14:45
01.01.2021 15:00;49,992517;49,967;50,013;0,0181462;0,01845029;0,00030409;0,01875439;900;100;False;True;04.01.2021 15:00
01.01.2021 15:15;49,994007;49,973;50,021;0,01115789;0,01224561;0,00108772;0,01333333;900;100;False;True;04.01.2021 15:15
01.01.2021 15:30;49,998854;49,972;50,02;0,00371345;0,00659649;0,00288304;0,00947953;900;100;False;True;04.01.2021 15:30
01.01.2021 15:45;49,989946;49,969;50,009;0,0184269;0,0184269;0;0,0184269;900;100;False;True;04.01.2021 15:45
01.01.2021 16:00;50,005689;49,97;50,049;-0,02064327;0,00866667;0,02930994;0,03797661;900;100;False;True;04.01.2021 16:00
01.01.2021 16:15;49,992693;49,97;50,022;0,01735088;0,01899415;0,00164327;0,02063743;900;100;False;True;04.01.2021 16:15
01.01.2021 16:30;49,986058;49,963;50,016;0,03651462;0,03719883;0,00068421;0,03788304;900;100;False;True;04.01.2021 16:30
01.01.2021 16:45;49,98215;49,968;50,01;0,04622222;0,04622222;0;0,04622222;900;100;False;True;04.01.2021 16:45
