time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210331:1110;784,03;0,78403;1046,3;42,92;20,28;1,45;0
20210331:1210;751,09;0,75109;1006,63;42,69;21,4;1,24;0
20210331:1310;702,66;0,70266;938,78;39,25;22,09;1,03;0
20210331:1410;599,57;0,59957;786,52;33,23;22,4;0,97;0
20210331:1510;422,7;0,4227;546,92;25,46;22,39;0,83;0
20210331:1610;215,18;0,21518;296,78;16,64;22,01;0,55;0
20210331:1710;31,62;0,03162;71,68;7,3;20,58;0,55;0
20210331:1810;0;0;0;0;19,87;0,55;0
20210331:1910;0;0;0;0;16,75;1,52;0
20210331:2010;0;0;0;0;15,9;1,38;0
20210331:2110;0;0;0;0;15,79;0,83;0
20210331:2210;0;0;0;0;14,62;0,55;0
20210331:2310;0;0;0;0;13,59;0,62;0
20210401:0010;0;0;0;0;12,72;0,97;0
20210401:0110;0;0;0;0;12,06;0,69;0
20210401:0210;0;0;0;0;11,44;0,62;0
20210401:0310;0;0;0;0;10,93;0,55;0
20210401:0410;0;0;0;0;10,66;0,41;0
20210401:0510;0;0;0;0;10,3;0,41;0
20210401:0610;51,74;0,05174;83,09;8,96;9,99;0,69;0
20210401:0710;253,22;0,25322;319,45;18,26;11,97;0,48;0
20210401:0810;456,69;0,45669;566,18;26,98;14,59;0,9;0
20210401:0910;625,29;0,62529;788,68;34,57;16,45;1,59;0
20210401:1010;729,21;0,72921;929,27;40,29;17,74;2,48;0
20210401:1110;791,18;0,79118;1017,18;43,31;18,5;2,9;0
20210401:1210;774,2;0,7742;984,58;43,06;18,81;3,59;0
20210401:1310;719,36;0,71936;899,84;39,59;18,49;4,14;0
20210401:1410;597,27;0,59727;733,48;33,54;17,83;4,41;0
20210401:1510;410,45;0,41045;502,2;25,74;16,93;4,48;0
20210401:1610;209,07;0,20907;275,25;16,9;15,83;4,21;0
20210401:1710;32,97;0,03297;67,97;7,55;14,5;3,79;0
20210401:1810;0;0;0;0;12,64;3,45;0
20210401:1910;0;0;0;0;10,7;3,66;0
20210401:2010;0;0;0;0;9,28;3,66;0
20210401:2110;0;0;0;0;8,09;3,38;0
20210401:2210;0;0;0;0;6,93;3,03;0
20210401:2310;0;0;0;0;6,23;2,83;0
20210402:0010;0;0;0;0;5,51;2,55;0
20210402:0110;0;0;0;0;4,99;2,34;0
20210402:0210;0;0;0;0;4,71;2,21;0
20210402:0310;0;0;0;0;4,59;2,21;0
20210402:0410;0;0;0;0;4,7;2,28;0
20210402:0510;0;0;0;0;4,49;2,41;0
20210402:0610;22,81;0,02281;40,01;9,31;4,98;2,41;0
20210402:0710;64,33;0,06433;89,74;18,61;5,67;3,66;0
20210402:0810;157,19;0,15719;194,38;27,35;6,4;3,31;0
20210402:0910;120,04;0,12004;153,69;34,95;7,13;3,17;0
20210402:1010;243,8;0,2438;293,3;40,68;7,86;3,24;0
20210402:1110;360,02;0,36002;426,41;43,7;8,35;3,31;0
20210402:1210;402,94;0,40294;476,19;43,43;8,95;3,79;0
20210402:1310;102,37;0,10237;134,59;39,92;9,09;4,62;0
20210402:1410;74,64;0,07464;102,76;33,84;8,92;4,62;0
20210402:1510;283,57;0,28357;337,52;26,01;8,71;4,76;0
20210402:1610;201,54;0,20154;255,01;17,15;8,17;4,9;0
20210402:1710;19,34;0,01934;36,21;7,8;7,39;4,76;0
20210402:1810;0;0;0;0;6,66;4,55;0
20210402:1910;0;0;0;0;5,44;4,21;0
20210402:2010;0;0;0;0;5,21;3,79;0
20210402:2110;0;0;0;0;5,02;3,45;0
20210402:2210;0;0;0;0;5,01;3,1;0
20210402:2310;0;0;0;0;4,91;3,38;0
20210403:0010;0;0;0;0;4,5;3,24;0
20210403:0110;0;0;0;0;4,17;3,1;0
20210403:0210;0;0;0;0;4,11;3,31;0
20210403:0310;0;0;0;0;4,15;3,24;0
20210403:0410;0;0;0;0;3,97;3,03;0
20210403:0510;0;0;0;0;3,64;2,62;0
20210403:0610;50,63;0,05063;77,42;9,66;3,52;2,28;0
20210403:0710;241,57;0,24157;290,12;18,97;4,32;3,31;0
20210403:0810;527,87;0,52787;614,01;27,71;5,4;3,24;0
20210403:0910;689,4;0,6894;816,47;35,33;6,47;3,03;0
20210403:1010;792,28;0,79228;958,24;41,07;7,74;3,03;0
20210403:1110;664,36;0,66436;800,86;44,09;8,78;2,69;0
20210403:1210;414,58;0,41458;493,82;43,8;9,52;2,83;0
20210403:1310;455,97;0,45597;541,92;40,26;9,75;3,1;0
20210403:1410;428,53;0,42853;508,32;34,14;9,81;3,17;0
20210403:1510;299,14;0,29914;358,76;26,29;9,66;3,1;0
20210403:1610;173,17;0,17317;222,55;17,41;9,67;2,97;0
20210403:1710;30,84;0,03084;54,46;8,05;9,3;2,41;0
20210403:1810;0;0;0;0;8,28;2,34;0
20210403:1910;0;0;0;0;7,1;2,34;0
20210403:2010;0;0;0;0;6,23;2,41;0
20210403:2110;0;0;0;0;5,43;2,69;0
20210403:2210;0;0;0;0;4,74;2,83;0
20210403:2310;0;0;0;0;4,23;2,62;0
20210404:0010;0;0;0;0;3,68;2,14;0
20210404:0110;0;0;0;0;3,01;1,93;0
20210404:0210;0;0;0;0;2,58;1,79;0
20210404:0310;0;0;0;0;1,99;1,72;0
20210404:0410;0;0;0;0;1,94;1,59;0
20210404:0510;0;0;0;0;1,51;1,72;0
20210404:0610;29,77;0,02977;48,54;10;2,28;1,52;0
20210404:0710;72,84;0,07284;98,8;19,32;3,49;1,93;0
20210404:0810;95,48;0,09548;124,59;28,07;4,29;2,48;0
20210404:0910;95,14;0,09514;124,59;35,7;5,01;2,41;0
20210404:1010;82,84;0,08284;110,94;41,46;5,52;2,28;0
20210404:1110;93,03;0,09303;122,77;44,48;6,05;2,21;0
20210404:1210;101,59;0,10159;132,77;44,17;6,54;2;0
20210404:1310;98,16;0,09816;129,13;40,6;6,95;1,86;0
20210404:1410;106,88;0,10688;139,14;34,44;7,14;1,93;0
20210404:1510;137,95;0,13795;174,19;26,56;7,29;2,07;0
20210404:1610;156,64;0,15664;200,35;17,66;7,39;2,28;0
20210404:1710;38,7;0,0387;77,87;8,3;7,19;2,34;0
20210404:1810;0;0;0;0;6,74;1,59;0
20210404:1910;0;0;0;0;5,66;1,31;0
20210404:2010;0;0;0;0;4,81;1,59;0
20210404:2110;0;0;0;0;3,7;2;0
20210404:2210;0;0;0;0;3,28;2,21;0
20210404:2310;0;0;0;0;2,99;2,55;0
20210405:0010;0;0;0;0;2,89;2,76;0
20210405:0110;0;0;0;0;3,02;3,17;0
20210405:0210;0;0;0;0;3,1;3,59;0
20210405:0310;0;0;0;0;3,48;4,07;0
20210405:0410;0;0;0;0;3,84;4,55;0
20210405:0510;0;0;0;0;4,41;5,03;0
20210405:0610;7,47;0,00747;19,1;10,35;4,71;4,83;0
20210405:0710;21,37;0,02137;38,19;19,66;5,36;4,55;0
20210405:0810;35,27;0,03527;55,47;28,43;5,6;6;0
20210405:0910;76,07;0,07607;102,76;36,07;5,27;6,48;0
20210405:1010;68,64;0,06864;93,67;41,84;3,53;6,48;0
20210405:1110;103,3;0,1033;131,86;44,87;2,38;5,38;0
20210405:1210;252,62;0,25262;294,76;44,54;2,55;5,59;0
20210405:1310;91,28;0,09128;119,13;40,93;3,71;6,28;0
20210405:1410;664,56;0,66456;757,51;34,74;4,48;6,62;0
20210405:1510;328,5;0,3285;378,07;26,83;3,9;7,03;0
20210405:1610;255,98;0,25598;315,84;17,91;3,51;6,55;0
20210405:1710;38,13;0,03813;65,14;8,54;3,13;5,86;0
20210405:1810;0;0;0;0;2,25;5,45;0
20210405:1910;0;0;0;0;0,93;4,97;0
20210405:2010;0;0;0;0;0,47;4,76;0
20210405:2110;0;0;0;0;0,22;4,69;0
20210405:2210;0;0;0;0;0,04;5,17;0
20210405:2310;0;0;0;0;0,18;5,86;0
20210406:0010;0;0;0;0;0,14;5,93;0
20210406:0110;0;0;0;0;0,6;6;0
20210406:0210;0;0;0;0;0,69;5,93;0
20210406:0310;0;0;0;0;0,62;5,79;0
20210406:0410;0;0;0;0;0,47;5,24;0
20210406:0510;0;0;0;0;0,08;4,55;0
20210406:0610;60,62;0,06062;87,78;10,69;0,23;4,55;0
20210406:0710;240,72;0,24072;283,18;20,01;0,77;4,48;0
20210406:0810;264,89;0,26489;306,25;28,79;1,63;4,76;0
20210406:0910;249,75;0,24975;291,65;36,45;2,69;4,83;0
20210406:1010;484,66;0,48466;553,81;42,23;3,37;4,97;0
20210406:1110;510,14;0,51014;585,56;45,25;4,17;5,03;0
20210406:1210;93,14;0,09314;121,86;44,9;4,9;5,52;0
20210406:1310;93,05;0,09305;121,86;41,26;5,14;5,72;0
20210406:1410;482,27;0,48227;547,46;35,03;3,32;6;0
20210406:1510;149,42;0,14942;182,67;27,09;3,1;5,79;0
20210406:1610;25,37;0,02537;42,74;18,17;2,18;5,38;0
20210406:1710;42,2;0,0422;85,89;8,79;1,6;5,17;0
20210406:1810;0;0;0;0;1,21;4,9;0
20210406:1910;0;0;0;0;0,17;4,69;0
20210406:2010;0;0;0;0;0,02;4,55;0
20210406:2110;0;0;0;0;0,09;4,55;0
20210406:2210;0;0;0;0;0;4,83;0
20210406:2310;0;0;0;0;-0,08;4,69;0
20210407:0010;0;0;0;0;-0,28;4,28;0
20210407:0110;0;0;0;0;-0,6;4,21;0
20210407:0210;0;0;0;0;-0,86;4,21;0
20210407:0310;0;0;0;0;-1,14;4,21;0
20210407:0410;0;0;0;0;-1,22;4,34;0
20210407:0510;0;0;0;0;-1,04;4,76;0
20210407:0610;51,48;0,05148;74,99;11,03;-0,43;5,59;0
20210407:0710;109,73;0,10973;137,8;20,35;-0,09;4,9;0
20210407:0810;123,87;0,12387;153,11;29,14;0,66;6,69;0
20210407:0910;215,66;0,21566;251,93;36,82;1,55;9,38;0
20210407:1010;71,65;0,07165;96,39;42,61;1,91;7,66;0
20210407:1110;77,19;0,07719;102,76;45,63;2,03;5,31;0
20210407:1210;173,22;0,17322;209,16;45,27;3,1;5,03;0
20210407:1310;120,79;0,12079;152,78;41,59;5,25;6,07;0
20210407:1410;112,56;0,11256;143,68;35,33;5,45;6,69;0
20210407:1510;37,66;0,03766;58,2;27,36;4,97;6,83;0
20210407:1610;15,94;0,01594;30,92;18,42;4;6,07;0
20210407:1710;43,25;0,04325;73,09;9,03;3,27;6,28;0
20210407:1810;0;0;0;0;2,26;5,45;0
20210407:1910;0;0;0;0;1,53;4,41;0
20210407:2010;0;0;0;0;0,85;4;0
20210407:2110;0;0;0;0;0,67;4;0
20210407:2210;0;0;0;0;0,2;3,79;0
20210407:2310;0;0;0;0;-0,06;3,66;0
20210408:0010;0;0;0;0;-0,4;3,45;0
20210408:0110;0;0;0;0;-0,12;3,38;0
20210408:0210;0;0;0;0;-0,26;3,17;0
20210408:0310;0;0;0;0;-0,64;2,9;0
20210408:0410;0;0;0;0;-0,92;2,62;0
20210408:0510;0;0;0,85;1,94;-1,01;2,41;0
20210408:0610;71,74;0,07174;101,6;11,36;-0,48;2,07;0
20210408:0710;328,39;0,32839;386,14;20,69;1,03;2,28;0
20210408:0810;555,63;0,55563;642,61;29,49;2,8;2,62;0
20210408:0910;170,14;0,17014;207,51;37,18;4,48;3,24;0
20210408:1010;343,82;0,34382;402,09;42,99;5,62;3,66;0
20210408:1110;675,79;0,67579;795,84;46,01;5,93;3,72;0
20210408:1210;670,93;0,67093;792,28;45,63;6,22;3,52;0
20210408:1310;734,96;0,73496;873,4;41,91;6,73;3,52;0
20210408:1410;612,45;0,61245;719,19;35,62;7,01;3,59;0
20210408:1510;471,36;0,47136;554,18;27,62;7,31;3,59;0
20210408:1610;224,88;0,22488;283,53;18,66;7,21;3,38;0
20210408:1710;43,84;0,04384;82,71;9,28;6,86;2,9;0
20210408:1810;0;0;0;0;6,09;2,28;0
20210408:1910;0;0;0;0;5,15;1,93;0
20210408:2010;0;0;0;0;3,73;2,07;0
20210408:2110;0;0;0;0;2,67;2,21;0
20210408:2210;0;0;0;0;1,88;2,28;0
20210408:2310;0;0;0;0;1,51;2,48;0
20210409:0010;0;0;0;0;1,47;2,62;0
20210409:0110;0;0;0;0;1,6;2,69;0
20210409:0210;0;0;0;0;2;2,69;0
20210409:0310;0;0;0;0;2,4;2,69;0
20210409:0410;0;0;0;0;2,37;2,83;0
20210409:0510;0;0;2,54;2,28;2,5;2,9;0
20210409:0610;26,67;0,02667;44,56;11,7;3,2;2,76;0
20210409:0710;214,16;0,21416;259,71;21,03;5,13;2,28;0
20210409:0810;234,05;0,23405;281,66;29,84;7,57;2,76;0
20210409:0910;402,1;0,4021;476,92;37,55;9,51;3,17;0
20210409:1010;695,8;0,6958;841,11;43,36;10,97;3,66;0
20210409:1110;712,87;0,71287;858,8;46,39;12,1;5,03;0
20210409:1210;737,28;0,73728;891,93;45,99;12,6;5,03;0
20210409:1310;632,97;0,63297;761,77;42,24;13,18;4,83;0
20210409:1410;604,6;0,6046;725,72;35,91;13,55;4,83;0
20210409:1510;328,49;0,32849;399,39;27,89;13,29;3,17;0
20210409:1610;80,62;0,08062;112,32;18,91;13,43;2,55;0
20210409:1710;44,09;0,04409;79,87;9,52;12,3;1,38;0
20210409:1810;0;0;0;0;10,77;1,31;0
20210409:1910;0;0;0;0;7,69;1,59;0
20210409:2010;0;0;0;0;6,92;1,59;0
20210409:2110;0;0;0;0;6,47;1,45;0
20210409:2210;0;0;0;0;6,36;1,45;0
20210409:2310;0;0;0;0;6,16;1,31;0
20210410:0010;0;0;0;0;5,76;1,24;0
20210410:0110;0;0;0;0;5,71;0,9;0
20210410:0210;0;0;0;0;5,62;0,76;0
20210410:0310;0;0;0;0;5,6;0,62;0
20210410:0410;0;0;0;0;5,4;0,62;0
20210410:0510;0;0;3,39;2,61;4,95;0,83;0
20210410:0610;54,96;0,05496;81,02;12,03;5,27;0,83;0
20210410:0710;154,79;0,15479;195,16;21,37;7,63;0,76;0
20210410:0810;168,07;0,16807;209,59;30,19;8,34;1,1;0
20210410:0910;293,78;0,29378;354,47;37,91;9,12;1,38;0
20210410:1010;114,44;0,11444;149,14;43,74;9,21;1,52;0
20210410:1110;93,84;0,09384;125,49;46,77;9,46;1,93;0
20210410:1210;195,82;0,19582;242;46,34;9,61;2,41;0
20210410:1310;104,79;0,10479;138,23;42,56;9,95;2,48;0
20210410:1410;70,9;0,0709;99,12;36,19;10,04;2,28;0
20210410:1510;50,13;0,05013;74,57;28,15;10,04;2,48;0
20210410:1610;33,7;0,0337;54,56;19,16;10,08;3,24;0
20210410:1710;10,88;0,01088;24,55;9,76;10,16;3,79;0
20210410:1810;0;0;0;0;10,36;4,21;0
20210410:1910;0;0;0;0;9,69;4,28;0
20210410:2010;0;0;0;0;9,68;4,48;0
20210410:2110;0;0;0;0;9,59;4,62;0
20210410:2210;0;0;0;0;9,69;4,48;0
20210410:2310;0;0;0;0;9,86;4,14;0
20210411:0010;0;0;0;0;9,83;3,86;0
20210411:0110;0;0;0;0;9,68;3,1;0
20210411:0210;0;0;0;0;9,21;2,14;0
20210411:0310;0;0;0;0;8,83;1,45;0
20210411:0410;0;0;0;0;8,18;1,52;0
20210411:0510;0;0;4,23;2,94;6,96;2,34;0
20210411:0610;3,49;0,00349;12,73;12,36;5,06;3,24;0
20210411:0710;18,01;0,01801;33,65;21,7;3,8;3,45;0
20210411:0810;44,07;0,04407;65,48;30,53;3,24;3,24;0
20210411:0910;54,19;0,05419;77,3;38,27;3,38;3,17;0
20210411:1010;76,46;0,07646;102,76;44,11;3,58;3,17;0
20210411:1110;124,35;0,12435;156,41;47,14;3,9;3,17;0
20210411:1210;139,57;0,13957;173,69;46,7;4,53;3,38;0
20210411:1310;132,74;0,13274;166,42;42,88;5,11;3,72;0
20210411:1410;72,68;0,07268;99,12;36,48;5,47;4,41;0
20210411:1510;110,24;0,11024;141,39;28,41;5,54;4,76;0
20210411:1610;102,59;0,10259;133,71;19,4;5,49;4,21;0
20210411:1710;4,56;0,00456;14,55;10;5,39;3,45;0
20210411:1810;0;0;0;0;4,95;2,9;0
20210411:1910;0;0;0;0;3,88;2,55;0
20210411:2010;0;0;0;0;3,79;2,34;0
20210411:2110;0;0;0;0;3,51;2,62;0
20210411:2210;0;0;0;0;2,89;2,97;0
20210411:2310;0;0;0;0;2,24;2,83;0
20210412:0010;0;0;0;0;1,65;2,55;0
20210412:0110;0;0;0;0;1,14;2,28;0
20210412:0210;0;0;0;0;0,58;2;0
20210412:0310;0;0;0;0;0,17;1,93;0
20210412:0410;0;0;0;0;-0,28;2,07;0
20210412:0510;3,6;0,0036;12,7;3,27;-0,47;1,86;0
20210412:0610;77,66;0,07766;107,66;12,68;0,29;1,59;0
20210412:0710;121,28;0,12128;152,1;22,03;2,02;2,69;0
20210412:0810;134,71;0,13471;167,55;30,87;3,29;2,76;0
20210412:0910;555,8;0,5558;647,58;38,62;4,38;2,76;0
20210412:1010;91,72;0,09172;120,95;44,48;5,64;2,97;0
20210412:1110;287,39;0,28739;341,17;47,51;6,56;3,24;0
20210412:1210;194,01;0,19401;236,76;47,05;7,15;3,38;0
20210412:1310;522,57;0,52257;614,15;43,2;7,4;3,52;0
20210412:1410;390,84;0,39084;458,26;36,76;7,4;3,72;0
20210412:1510;294,82;0,29482;349,21;28,66;7,13;3,79;0
20210412:1610;227,02;0,22702;283,89;19,64;6,09;3,66;0
20210412:1710;47,15;0,04715;92,09;10,24;5,49;3,79;0
20210412:1810;0;0;0;0;4,47;2,55;0
20210412:1910;0;0;0;0;3,17;1,79;0
20210412:2010;0;0;0;0;2,42;1,59;0
20210412:2110;0;0;0;0;1,26;1,59;0
20210412:2210;0;0;0;0;0,14;1,66;0
20210412:2310;0;0;0;0;0,16;1,66;0
20210413:0010;0;0;0;0;-0,53;1,86;0
20210413:0110;0;0;0;0;-1,31;2;0
20210413:0210;0;0;0;0;-1,86;2;0
20210413:0310;0;0;0;0;-2,38;1,93;0
20210413:0410;0;0;0;0;-2,65;1,79;0
20210413:0510;3,16;0,00316;11,85;3,59;-2,67;1,59;0
20210413:0610;68,48;0,06848;94,67;13,01;-1,19;1,17;0
20210413:0710;157,79;0,15779;192,98;22,36;1,74;1,45;0
20210413:0810;220,78;0,22078;262,57;31,21;3,24;2,14;0
20210413:0910;586,65;0,58665;687,76;38,98;4,39;2,34;0
20210413:1010;363,92;0,36392;427,13;44,85;5,77;2,83;0
20210413:1110;495,04;0,49504;582,13;47,88;6,84;3,17;0
20210413:1210;807,54;0,80754;978,44;47,4;7,41;3,1;0
20210413:1310;227,75;0,22775;275,81;43,51;7,96;2,97;0
20210413:1410;141,48;0,14148;178,75;37,04;8,35;3,03;0
20210413:1510;106,94;0,10694;139,54;28,92;8,22;3,03;0
20210413:1610;117,05;0,11705;152,06;19,88;7,94;3,1;0
20210413:1710;50,74;0,05074;83,08;10,47;7,29;2,69;0
20210413:1810;0;0;0;0;6,07;2,28;0
20210413:1910;0;0;0;0;4,53;2,21;0
20210413:2010;0;0;0;0;3,54;1,93;0
20210413:2110;0;0;0;0;2,55;1,72;0
20210413:2210;0;0;0;0;1,22;1,52;0
20210413:2310;0;0;0;0;0,61;1,38;0
20210414:0010;0;0;0;0;0,32;1,31;0
20210414:0110;0;0;0;0;0,52;1,1;0
20210414:0210;0;0;0;0;0,68;0,83;0
20210414:0310;0;0;0;0;0,47;0,55;0
20210414:0410;0;0;0;0;0,17;0,41;0
20210414:0510;0,89;0,00089;7,62;3,92;-0,03;0,28;0
20210414:0610;101,47;0,10147;139,95;13,33;0,42;0,14;0
20210414:0710;354,37;0,35437;427,28;22,68;3;0;0
20210414:0810;483,33;0,48333;576,67;31,55;4,85;0,41;0
20210414:0910;522,12;0,52212;620,52;39,32;5,92;1,38;0
20210414:1010;279,64;0,27964;333,84;45,21;6,52;2,07;0
20210414:1110;697,89;0,69789;842,83;48,25;7,28;2,34;0
20210414:1210;416,25;0,41625;492,78;47,74;7,7;2,69;0
20210414:1310;670,86;0,67086;802,86;43,83;8,02;2,97;0
20210414:1410;292,77;0,29277;348,7;37,32;7,96;3,1;0
20210414:1510;429,15;0,42915;507,69;29,17;7,89;3,03;0
20210414:1610;234,91;0,23491;296,75;20,12;7,26;2,41;0
20210414:1710;48,69;0,04869;93,4;10,71;6,87;2,48;0
20210414:1810;0;0;0;0;5,36;2,34;0
20210414:1910;0;0;0;0;4,2;2,14;0
20210414:2010;0;0;0;0;3,21;2,07;0
20210414:2110;0;0;0;0;2,34;2;0
20210414:2210;0;0;0;0;1,55;2;0
20210414:2310;0;0;0;0;0,92;1,93;0
20210415:0010;0;0;0;0;0,4;1,66;0
20210415:0110;0;0;0;0;-0,39;1,52;0
20210415:0210;0;0;0;0;-1,11;1,38;0
20210415:0310;0;0;0;0;-1,11;1,24;0
20210415:0410;0;0;0;0;-1,47;1,24;0
20210415:0510;6,85;0,00685;17,78;4,24;-1,61;1,17;0
20210415:0610;136,51;0,13651;194,05;13,64;-0,42;1,03;0
20210415:0710;372,53;0,37253;441,05;23,01;1,43;1,1;0
20210415:0810;574,13;0,57413;672,01;31,88;3,04;1,72;0
20210415:0910;587,05;0,58705;688,56;39,67;4,9;2,55;0
20210415:1010;281,69;0,28169;334,49;45,57;6,15;2,83;0
20210415:1110;249,39;0,24939;299,77;48,61;7,15;2,69;0
20210415:1210;350,93;0,35093;417,14;48,09;8,04;2,76;0
20210415:1310;551,45;0,55145;656,03;44,14;8,46;2,83;0
20210415:1410;164,81;0,16481;205,21;37,6;8,57;3,17;0
20210415:1510;346,19;0,34619;411,23;29,42;8,53;3,31;0
20210415:1610;177,59;0,17759;224,83;20,36;8,4;3,38;0
20210415:1710;53,53;0,05353;89,87;10,95;7,82;3,03;0
20210415:1810;0;0;0;0;6,76;2,69;0
20210415:1910;0;0;0;0;5,47;2,34;0
20210415:2010;0;0;0;0;4,46;2,21;0
20210415:2110;0;0;0;0;3,29;2,07;0
20210415:2210;0;0;0;0;2,1;1,86;0
20210415:2310;0;0;0;0;1,07;1,79;0
20210416:0010;0;0;0;0;0,82;1,79;0
20210416:0110;0;0;0;0;0,35;1,86;0
20210416:0210;0;0;0;0;-0,1;1,79;0
20210416:0310;0;0;0;0;-0,47;1,72;0
20210416:0410;0;0;0;0;-0,4;1,72;0
20210416:0510;6,21;0,00621;16,93;4,55;0,44;1,72;0
20210416:0610;51,88;0,05188;74,86;13,96;1,84;1,45;0
20210416:0710;174,82;0,17482;213,47;23,32;3,82;1,93;0
20210416:0810;215,62;0,21562;259,31;32,21;5,51;2,28;0
20210416:0910;232,63;0,23263;280,07;40,01;7,21;3,03;0
20210416:1010;255,23;0,25523;306,51;45,93;8,53;4,28;0
20210416:1110;172,43;0,17243;213,7;48,97;8,73;4,07;0
20210416:1210;317,6;0,3176;378,72;48,43;9,1;3,86;0
20210416:1310;302,92;0,30292;362,28;44,45;9,5;3,86;0
20210416:1410;227,87;0,22787;277,45;37,87;9,88;3,59;0
20210416:1510;337,08;0,33708;403,54;29,68;10,16;3,38;0
20210416:1610;162,23;0,16223;207,97;20,6;10,04;2,69;0
20210416:1710;37,93;0,03793;60,55;11,18;9,8;2,21;0
20210416:1810;0;0;0,85;1,84;8,73;2;0
20210416:1910;0;0;0;0;7,57;2,21;0
20210416:2010;0;0;0;0;6,67;2,48;0
20210416:2110;0;0;0;0;5,94;2,55;0
20210416:2210;0;0;0;0;4,92;2,48;0
20210416:2310;0;0;0;0;4,18;2,34;0
20210417:0010;0;0;0;0;3,39;2,28;0
20210417:0110;0;0;0;0;2,57;2,21;0
20210417:0210;0;0;0;0;1,89;2,07;0
20210417:0310;0;0;0;0;1,11;1,93;0
20210417:0410;0;0;0;0;0,26;1,86;0
20210417:0510;4,62;0,00462;14,39;4,87;-0,28;1,72;0
20210417:0610;139,5;0,1395;197,86;14,27;1,32;1,38;0
20210417:0710;363,68;0,36368;435,23;23,64;5,03;1,72;0
20210417:0810;558,74;0,55874;662,32;32,53;6,73;2,07;0
20210417:0910;630,58;0,63058;751,22;40,35;8,27;2,97;0
20210417:1010;457,16;0,45716;540,05;46,29;9,5;4,28;0
20210417:1110;836,72;0,83672;1017,3;49,33;9,91;4,14;0
20210417:1210;471,11;0,47111;558,68;48,77;9,9;4,07;0
20210417:1310;149,94;0,14994;189,15;44,75;9,78;4,07;0
20210417:1410;79,74;0,07974;109,13;38,15;9,88;4;0
20210417:1510;93,13;0,09313;124,59;29,92;9,92;3,79;0
20210417:1610;186,67;0,18667;237,73;20,83;9,89;3,17;0
20210417:1710;40,37;0,04037;63,7;11,41;9,38;1,52;0
20210417:1810;0;0;0,85;2,07;8,83;1,52;0
20210417:1910;0;0;0;0;8,19;1,86;0
20210417:2010;0;0;0;0;7,86;2,07;0
20210417:2110;0;0;0;0;7,48;2,28;0
20210417:2210;0;0;0;0;7,04;2,34;0
20210417:2310;0;0;0;0;6,08;2,28;0
20210418:0010;0;0;0;0;5,44;2,07;0
20210418:0110;0;0;0;0;4,75;1,86;0
20210418:0210;0;0;0;0;4,26;1,72;0
20210418:0310;0;0;0;0;4,01;1,59;0
20210418:0410;0;0;0;0;4,08;1,52;0
20210418:0510;0;0;5,08;5,17;4,01;1,66;0
20210418:0610;55,11;0,05511;79,33;14,58;4,43;1,79;0
20210418:0710;163,68;0,16368;202,75;23,95;5,83;1,72;0
20210418:0810;489,79;0,48979;579,92;32,85;7,3;2,07;0
20210418:0910;175,98;0,17598;218,1;40,69;8,37;2,41;0
20210418:1010;75,56;0,07556;104,58;46,64;10,34;3,1;0
20210418:1110;257,07;0,25707;313,16;49,68;11,72;4,28;0
20210418:1210;148,54;0,14854;189,15;49,1;11,8;4,21;0
20210418:1310;329,34;0,32934;396,14;45,05;11,74;4,07;0
20210418:1410;232,51;0,23251;284,9;38,42;11,78;3,79;0
20210418:1510;385,86;0,38586;465,11;30,17;12,02;3,24;0
20210418:1610;228,82;0,22882;295,97;21,07;12,04;2,34;0
20210418:1710;53,44;0,05344;95,11;11,64;11,56;1,79;0
20210418:1810;0;0;1,69;2,31;10,94;1,72;0
20210418:1910;0;0;0;0;9,64;2,07;0
20210418:2010;0;0;0;0;8,98;2,14;0
20210418:2110;0;0;0;0;8,44;2,14;0
20210418:2210;0;0;0;0;8,2;2,07;0
20210418:2310;0;0;0;0;7,43;2;0
20210419:0010;0;0;0;0;6,81;1,66;0
20210419:0110;0;0;0;0;6,14;1,45;0
20210419:0210;0;0;0;0;5,39;1,38;0
20210419:0310;0;0;0;0;5,07;1,31;0
20210419:0410;0;0;0;0;5,31;1,38;0
20210419:0510;0,83;0,00083;7,62;5,48;5,51;1,38;0
20210419:0610;7,41;0,00741;19,1;14,88;5,96;1,31;0
20210419:0710;43,98;0,04398;66,38;24,25;6,69;1,03;0
20210419:0810;46,12;0,04612;69,11;33,17;7,3;0,9;0
20210419:0910;90,48;0,09048;120,95;41,02;7,85;1,38;0
20210419:1010;120,15;0,12015;155,5;46,98;8,73;1,17;0
20210419:1110;566,54;0,56654;697,31;50,03;9,73;0,83;0
20210419:1210;746,88;0,74688;960,18;49,44;11,05;0,55;0
20210419:1310;184,9;0,1849;233,46;45,35;11,9;0,62;0
20210419:1410;134,31;0,13431;174,6;38,68;12,4;0,9;0
20210419:1510;193,59;0,19359;243,74;30,41;12,66;0,97;0
20210419:1610;118,05;0,11805;157,05;21,3;12,75;0,97;0
20210419:1710;48,87;0,04887;76,65;11,87;12,56;0,76;0
20210419:1810;0;0;1,69;2,55;11,86;0,83;0
20210419:1910;0;0;0;0;9,15;1,79;0
20210419:2010;0;0;0;0;7,55;1,52;0
20210419:2110;0;0;0;0;7,43;0,97;0
20210419:2210;0;0;0;0;7,71;0,48;0
20210419:2310;0;0;0;0;7,44;0,76;0
