snapshot,0
0,-78.70789634899802
1,291.0920820233437
2,303.7392501690166
3,340.5718727471544
4,278.8301339449356
5,312.5705428414515
6,323.4326963337039
7,374.343339950905
8,269.706519599672
9,331.61778210054814
10,316.0630646438397
11,378.51279782042326
12,329.1407433264959
13,344.00313382609096
14,403.3906055192152
15,450.101865377949
16,327.5098614817495
17,312.6012983122045
18,303.1549096598409
19,349.449285471112
20,389.94337418654567
21,334.35467529464063
22,329.86067871755967
23,338.03037359442055
24,613.1533971906359
25,322.6608209444072
26,345.399149393267
27,274.44205657884794
28,470.23771047789137
29,315.8906178172204
30,371.06303833462607
31,420.86505031100074
32,517.7020049626542
33,262.08751294248543
34,305.5045155497244
35,355.29143947259735
36,275.38799881470067
37,232.2017543203571
38,221.92391502806677
39,224.0779029677509
40,30.353021903781105
41,39.33930327590772
42,36.508379269093524
43,2.9221031812516145
44,-259.876571756855
45,-16.385562423671765
46,-126.0380501921561
47,-10.954498832152385
48,-19.139558289782958
49,-21.155080838044405
50,-46.97194386057814
51,-3.015562068186867
52,-36.109307562495616
53,60.896314896797534
54,18.062770598503008
55,107.71470531245131
56,-29.625715441594622
57,11.853601267530834
58,12.29950269449752
59,49.17854816063966
60,307.25877473239177
61,310.6444688143417
62,330.23020505835933
63,286.52027510532844
64,54.310820079689314
65,-45.648800887857384
66,-96.06709388087377
67,-121.60702612056214
68,47.55658720623552
69,-9.754404051657323
70,48.295113142512555
71,74.18890430574929
72,-10.492929987934357
73,-47.09501836201749
74,22.64747098215451
75,8.46204285890322
76,-126.82272248916946
77,55.29549501884504
78,97.77487755710955
79,325.8957811857435
80,-42.06396005478281
81,-24.49372004981298
82,-50.141362210171025
83,131.57685001355878
84,-313.67967663159
85,59.01880124334228
86,140.51579998823607
87,154.57817991926166
88,-332.942335732026
89,42.679385180406854
90,29.509387467064315
91,132.3307405306055
92,-89.72828349090166
93,66.60385277454579
94,25.386075958282362
95,85.43569850151673
96,-73.70789634899802
97,281.0920820233437
98,308.7392501690166
