snapshot,grid_power
0,-0.0
1,291.0920820233437
2,303.7392501690166
3,340.5718727471544
4,278.8301339449356
5,312.5705428414515
6,323.4326963337039
7,374.343339950905
8,269.706519599672
9,331.61778210054814
10,316.0630646438397
11,378.51279782042326
12,329.1407433264959
13,344.00313382609096
14,403.3906055192152
15,450.101865377949
16,327.5098614817495
17,312.6012983122045
18,303.1549096598409
19,349.449285471112
20,389.9433741865457
21,334.35467529464063
22,329.86067871755967
23,338.03037359442055
24,613.1533971906359
25,322.6608209444072
26,345.399149393267
27,274.44205657884794
28,470.23771047789137
29,315.8906178172204
30,371.06303833462607
31,420.86505031100074
32,517.7020049626542
33,262.08751294248543
34,305.5045155497244
35,355.29143947259735
36,275.38799881470067
37,232.2017543203571
38,221.92391502806677
39,224.0779029677509
40,30.353021903781105
41,39.33930327590771
42,36.508379269093524
43,2.9221031812516216
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,60.89631489679754
54,18.062770598503008
55,107.71470531245133
56,-0.0
57,11.853601267530827
58,12.29950269449752
59,49.17854816063966
60,307.2587747323918
61,310.6444688143417
62,330.23020505835933
63,286.52027510532844
64,384.3108200796893
65,294.3511991121426
66,243.93290611912624
67,228.39297387943787
68,392.5565872062355
69,330.24559594834267
70,393.29511314251255
71,419.1889043057493
72,329.50707001206564
73,297.90498163798253
74,367.6474709821545
75,348.4620428589032
76,208.17727751083052
77,395.29549501884503
78,442.77487755710956
79,655.8957811857435
80,277.9360399452172
81,295.50627995018704
82,269.858637789829
83,446.5768500135588
84,-0.0
85,364.0188012433423
86,445.51579998823604
87,459.57817991926163
88,-0.0
89,337.6793851804068
90,319.5093874670643
91,427.3307405306055
92,200.27171650909833
93,356.60385277454577
94,315.3860759582824
95,375.43569850151675
96,-0.0
97,281.0920820233437
98,308.7392501690166
99,330.5718727471544
100,278.8301339449356
101,312.5705428414515
102,323.4326963337039
103,379.343339950905
104,269.706519599672
105,331.61778210054814
106,316.0630646438397
107,378.51279782042326
108,324.1407433264959
109,344.00313382609096
110,393.3906055192152
111,465.101865377949
112,327.5098614817495
113,307.6012983122045
114,308.1549096598409
115,354.449285471112
116,389.9433741865457
117,334.35467529464063
118,359.86067871755967
119,373.03037359442055
120,658.1533971906359
121,372.6608209444072
122,370.399149393267
123,314.44205657884794
124,490.23771047789137
125,355.8906178172204
126,416.06303833462607
127,440.86505031100074
128,541.3020049626542
129,295.68751294248545
130,319.1045155497244
131,378.89143947259737
132,309.38799881470067
133,276.2017543203571
134,270.9239150280668
135,278.0779029677509
136,93.10302190378115
137,122.08930327590777
138,114.25837926909358
139,75.67210318125169
140,-0.0
141,21.63943757632827
142,-0.0
143,32.07050116784765
144,-0.0
145,-0.0
146,-0.0
147,-0.0
148,-0.0
149,-0.0
150,-0.0
151,-0.0
152,153.02428455840536
153,179.5036012675308
154,184.94950269449748
155,206.82854816063963
156,312.2587747323918
157,330.6444688143417
158,335.23020505835933
159,296.52027510532844
160,399.3108200796893
161,294.3511991121426
162,253.93290611912624
163,223.39297387943787
164,397.5565872062355
165,345.24559594834267
166,398.29511314251255
167,424.1889043057493
168,334.50707001206564
169,302.90498163798253
170,372.6474709821545
171,358.4620428589032
172,223.17727751083052
173,400.29549501884503
174,437.77487755710956
